FIPS,State,"County, State",2018 Food Insecurity Rate,# of Food Insecure Persons in 2018,2018 Child food insecurity rate,# of Food Insecure Children in 2018
47143,TN,"Rhea",0.17," 5,370 ",0.23," 1,740 "
47145,TN,"Roane",0.14," 7,250 ",0.17," 1,710 "
47147,TN,"Robertson",0.11," 7,340 ",0.13," 2,250 "
47149,TN,"Rutherford",0.10," 30,420 ",0.11," 8,060 "
47151,TN,"Scott",0.18," 3,880 ",0.22," 1,190 "
47153,TN,"Sequatchie",0.15," 2,170 ",0.20, 620 
47155,TN,"Sevier",0.13," 12,580 ",0.17," 3,320 "
47157,TN,"Shelby",0.15," 140,940 ",0.19," 44,120 "
47159,TN,"Smith",0.13," 2,440 ",0.15, 670 
47161,TN,"Stewart",0.15," 1,980 ",0.20, 550 
47163,TN,"Sullivan",0.14," 22,490 ",0.20," 6,060 "
47165,TN,"Sumner",0.10," 17,890 ",0.12," 4,940 "
47167,TN,"Tipton",0.13," 7,920 ",0.16," 2,420 "
47169,TN,"Trousdale",0.14," 1,290 ",0.16, 300 
47171,TN,"Unicoi",0.17," 2,950 ",0.23, 740 
47173,TN,"Union",0.16," 2,990 ",0.21, 870 
47175,TN,"Van Buren",0.16, 920 ,0.23, 250 
47177,TN,"Warren",0.16," 6,510 ",0.22," 2,140 "
47179,TN,"Washington",0.13," 16,950 ",0.16," 3,970 "
47181,TN,"Wayne",0.15," 2,550 ",0.22, 680 
47183,TN,"Weakley",0.15," 4,940 ",0.19," 1,250 "
47185,TN,"White",0.14," 3,680 ",0.19," 1,110 "
47187,TN,"Williamson",0.06," 12,700 ",0.05," 3,080 "
47189,TN,"Wilson",0.09," 12,110 ",0.11," 3,360 "
